snr_db,average_ser,average_ber
-10.000000,0.750750,0.500825
-5.000000,0.751950,0.501900
0.000000,0.749500,0.499200
5.000000,0.745100,0.494075
10.000000,0.744100,0.494925
15.000000,0.749000,0.497125
20.000000,0.741600,0.492800
